,sna,tot,sbi,sarea,mday,ar,bemp,act
1,YouBike2.0_復興南路二段273號前,21,2,大安區,2023-06-08 23:40:20,復興南路二段273號西側,19,1
3,YouBike2.0_和平公園東側,11,0,大安區,2023-06-08 23:23:04,和平東路二段118巷33號,11,1
4,YouBike2.0_辛亥復興路口西北側,16,3,大安區,2023-06-08 23:49:13,復興南路二段368號,13,1
5,YouBike2.0_復興南路二段280號前,11,0,大安區,2023-06-08 20:53:04,復興南路二段280號,11,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-06-08 22:54:04,復興南路二段342號,11,1
8,YouBike2.0_新生南路三段66號前,16,4,大安區,2023-06-08 23:47:13,新生南路三段66號東側,12,1
9,YouBike2.0_新生南路三段82號前,20,1,大安區,2023-06-08 22:59:16,新生南路三段82號,19,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-06-08 23:46:14,辛亥路一段30號,6,1
11,YouBike2.0_和平復興路口西北側,9,3,大安區,2023-06-08 23:44:13,復興南路二段236號,6,1
12,YouBike2.0_羅斯福路三段311號前,11,1,大安區,2023-06-08 23:35:04,羅斯福路三段311號,10,1
13,YouBike2.0_大安運動中心停車場,14,4,大安區,2023-06-08 23:30:30,敦南街76巷28號,10,1
14,YouBike2.0_羅斯福路三段245號前,8,1,大安區,2023-06-08 23:21:18,羅斯福路三段245號,7,1
15,YouBike2.0_溫州公園,5,4,大安區,2023-06-08 23:50:18,羅斯福路三段283巷11號,1,1
16,YouBike2.0_和平臥龍街口,15,1,大安區,2023-06-08 23:46:14,臥龍街1號,14,1
17,YouBike2.0_溫州停車場,5,5,大安區,2023-06-08 22:30:31,新生南路三段54巷/溫州街口,0,1
18,YouBike2.0_銘傳國小側門,7,0,大安區,2023-06-08 22:15:04,羅斯福路四段21號旁天橋下,7,1
19,YouBike2.0_捷運公館站(2號出口),99,0,大安區,2023-06-08 23:47:03,捷運公館站(2號出口)外側,88,1
22,YouBike2.0_臺灣科技大學側門,99,1,大安區,2023-06-08 23:49:13,基隆路四段73巷與基隆路口,98,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,4,大安區,2023-06-08 23:48:13,基隆路三段155巷57號西側,16,1
26,YouBike2.0_臺大環研大樓,15,0,大安區,2023-06-08 23:23:04,芳蘭路/基隆路三段155巷口,15,1
27,YouBike2.0_臺大永齡生醫工程館,34,0,大安區,2023-06-08 23:48:03,芳蘭路51號西北側,34,1
31,YouBike2.0_臺大動物醫院前,18,0,大安區,2023-06-08 22:47:04,基隆路三段155巷/基隆路四段口,18,1
32,YouBike2.0_臺大土木研究大樓前,24,1,大安區,2023-06-08 21:48:20,辛亥路三段188號,23,1
33,YouBike2.0_臺大萬才館前,20,0,大安區,2023-06-08 21:48:03,臺大萬才館北側,20,1
34,YouBike2.0_臺大國青大樓宿舍前,20,2,大安區,2023-06-08 23:37:15,辛亥路三段30號西北側,18,1
35,YouBike2.0_臺大社科院圖書館前,27,0,大安區,2023-06-08 23:43:04,辛亥路與復興南路口西南側,27,1
36,YouBike2.0_臺大法人語言訓練中心前,28,0,大安區,2023-06-08 21:50:11,臺大法人語言訓練中心北側,28,1
37,YouBike2.0_臺大綜合體育館停車場前,25,0,大安區,2023-06-08 23:30:18,臺大綜合體育館北側,25,1
38,YouBike2.0_辛亥新生路口東南側,41,1,大安區,2023-06-08 23:16:16,辛亥新生路口東南側,40,1
39,YouBike2.0_基隆長興路口東側,15,2,大安區,2023-06-08 23:37:15,基隆長興路口東側,13,1
46,YouBike2.0_臥龍公園,14,3,大安區,2023-06-08 23:21:18,辛亥路三段223號西側,11,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,2,大安區,2023-06-08 23:08:15,辛亥路一段/羅斯福路三段口北側(辛亥路側),13,1
53,YouBike2.0_和平金山路口,45,0,大安區,2023-06-08 23:48:03,和平東路一段/金山南路二段西南側,45,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-06-08 23:44:03,和平東路一段19號前,14,1
63,YouBike2.0_捷運東門站(3號出口),15,2,大安區,2023-06-08 23:44:13,信義路二段128號前,13,1
64,YouBike2.0_金甌女中,12,0,大安區,2023-06-08 23:05:04,信義路二段與杭州南路二段東南側,11,1
67,YouBike2.0_敦化南路二段293巷口南側,14,0,大安區,2023-06-08 21:52:04,敦化南路二段293巷口南側,14,1
68,YouBike2.0_敦化基隆路口,29,5,大安區,2023-06-08 23:50:18,敦化南路二段218號,23,1
72,YouBike2.0_台北科技大學億光大樓,46,4,大安區,2023-06-08 23:47:13,忠孝東路三段81號,42,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-06-03 19:11:04,建國南路一段304巷45號南側,15,0
76,YouBike2.0_復興南路1段340巷口,38,0,大安區,2023-06-08 23:23:04,復興南路一段信義路三段147巷45弄口,37,1
78,YouBike2.0_捷運忠孝復興站(2號出口),43,5,大安區,2023-06-08 23:49:13,復興南路一段/仁愛路三段123巷13弄(西北側),38,1
79,YouBike2.0_捷運大安站(4號出口),13,5,大安區,2023-06-08 23:48:13,信義路4段6號(前),8,1
80,YouBike2.0_捷運大安站(2號出口),22,0,大安區,2023-06-08 21:59:04,信義路3段143號(前),22,1
81,YouBike2.0_信義大安路口(信維大樓),12,4,大安區,2023-06-08 23:48:13,信義路四段74號(前),8,1
83,YouBike2.0_仁愛安和路口,25,2,大安區,2023-06-08 23:45:14,仁愛路四段258號前,23,1
85,YouBike2.0_仁愛國中,25,2,大安區,2023-06-08 23:05:18,安和路一段75號(對面),22,1
88,YouBike2.0_昌隆公園,16,2,大安區,2023-06-08 23:16:16,市民大道三段206號西側,14,1
90,YouBike2.0_信義延吉街口,15,1,大安區,2023-06-08 23:38:04,信義路四段353號,13,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,1,大安區,2023-06-08 23:15:05,光復南路290巷5號,19,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,1,大安區,2023-06-08 23:09:15,新生南路一段101號,14,1
95,YouBike2.0_捷運忠孝新生站(4號出口),34,1,大安區,2023-06-08 23:30:30,忠孝新生路口北側,33,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,1,大安區,2023-06-08 23:48:03,忠孝東路三段與10巷口,22,1
98,YouBike2.0_瑠公公園,20,1,大安區,2023-06-08 23:41:04,忠孝東路四段49巷4弄/大安路口,19,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,0,大安區,2023-06-08 23:47:03,捷運大安森林公園站(5號出口)東側,15,1
101,YouBike2.0_信義建國路口,38,4,大安區,2023-06-08 23:33:15,建國南路二段與信義路三段口西南側,34,1
102,YouBike2.0_東豐公園,19,0,大安區,2023-06-08 23:19:04,東豐街24號(旁公園路側),19,1
103,YouBike2.0_德安公園(四維路66巷),14,5,大安區,2023-06-08 23:32:17,四維路66巷6號北側,8,1
104,YouBike2.0_捷運忠孝復興站(5號出口),41,0,大安區,2023-06-08 23:27:03,復興南路一段135巷3號(對面),41,1
105,YouBike2.0_捷運忠孝敦化站(2號出口),17,0,大安區,2023-06-08 23:46:04,忠孝東路四段221號,17,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,0,大安區,2023-06-08 23:47:04,忠孝東路四段143號,18,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,2,大安區,2023-06-08 23:42:14,和平東路二段134號前,44,1
111,YouBike2.0_仁愛醫院,30,3,大安區,2023-06-08 23:36:16,仁愛路四段/大安路一段口(西南側),27,1
114,YouBike2.0_仁愛延吉街口,25,1,大安區,2023-06-08 23:43:14,仁愛路四段376號前,24,1
116,YouBike2.0_敦化南路二段103巷口,24,5,大安區,2023-06-08 23:32:17,敦化南路二段99號前,19,1
117,YouBike2.0_復興南路二段128巷口,28,0,大安區,2023-06-08 23:49:03,復興南路二段142之1號前,28,1
118,YouBike2.0_和平東建國南路口,17,1,大安區,2023-06-08 23:47:13,和平東路/建國南路口(北側),16,1
120,YouBike2.0_復興南路一段126巷口,15,3,大安區,2023-06-08 23:43:14,復興南路一段126巷1號前,12,1
121,YouBike2.0_捷運東門站(5號出口),28,3,大安區,2023-06-08 23:49:13,信義路二段178號前,25,1
122,YouBike2.0_仁愛路四段48巷口,11,2,大安區,2023-06-08 23:33:15,仁愛路四段48巷/東豐街(北側),9,1
123,YouBike2.0_捷運公館站(3號出口),90,1,大安區,2023-06-08 23:49:13,捷運公館站(3號出口)西側,60,1
124,YouBike2.0_臺北科技大學(電機工程系),16,3,大安區,2023-06-08 23:38:16,忠孝東路三段100號對側,13,1
125,YouBike2.0_忠孝東路三段217巷口,34,5,大安區,2023-06-08 23:40:20,忠孝東路三段229-1號前,29,1
126,YouBike2.0_新生南路三段94巷口,15,0,大安區,2023-06-08 23:45:04,新生南路三段94號前,15,1
